"","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","assess","american","gender","comments","Answer.time_in_minutes"
"1",0,4154,"F","M","Danny ate the last cupcake","pretend","11","NonProj",0.69,2,29,"English","Yes","y","m","",1.1387
"2",0,2716,NA,"M","Madison had a baby","control","control5","control",0.09,3,29,"English","Yes","y","m","",1.1387
"3",0,2082,"F","M","Jon walks to work","hear","19","C",0.79,4,29,"English","Yes","y","m","",1.1387
"4",0,2862,"F","F","Owen shoveled snow last winter","admit","17","C",0.83,5,29,"English","Yes","y","m","",1.1387
"5",0,2292,"M","F","Zoe calculated the tip","establish","10","NonProj",0.47,6,29,"English","Yes","y","m","",1.1387
"6",0,1792,"M","M","Grace visited her sister","say","9","C",0.19,7,29,"English","Yes","y","m","",1.1387
"7",0,2030,"M","M","Emily bought a car yesterday","inform_Sam","8","C",0.71,8,29,"English","Yes","y","m","",1.1387
"8",0,1544,NA,"F","Mary&quotechars aunt is sick","control","control2","control",0.07,9,29,"English","Yes","y","m","",1.1387
"9",0,1952,"M","M","Mia drank 2 cocktails last night","confirm","6","C",0.89,10,29,"English","Yes","y","m","",1.1387
"10",0,1692,NA,"M","Vanessa is good at math","control","control4","control",0.08,11,29,"English","Yes","y","m","",1.1387
"11",0,1446,"M","M","Isabella ate a steak on Sunday","confess","7","C",0.89,12,29,"English","Yes","y","m","",1.1387
"12",0,1636,"F","F","Frank got a cat","demonstrate","12","C",0.69,13,29,"English","Yes","y","m","",1.1387
"13",0,1612,"F","F","Tony had a drink last night","know","15","NonProj",0.5,14,29,"English","Yes","y","m","",1.1387
"14",0,2018,"M","F","Josie went on vacation to France","suggest","2","C",0.54,15,29,"English","Yes","y","m","",1.1387
"15",0,2714,"M","M","Olivia sleeps until noon","be_right_that","4","C",0.63,16,29,"English","Yes","y","m","",1.1387
"16",0,1504,"F","F","Jackson ran 10 miles","acknowledge","13","C",0.85,17,29,"English","Yes","y","m","",1.1387
